"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2022",7.15012613672438,6.79778051198257,7.50247176146619,6.61126000509842,7.68899226835034
"Feb 2022",6.95266164839376,6.33720045221586,7.56812284457166,6.01139497538399,7.89392832140353
"Mar 2022",6.5085338279006,5.71264594086703,7.30442171493418,5.29132834334829,7.72573931245291
"Apr 2022",5.97970378307679,5.03732245184574,6.92208511430784,4.53845590934737,7.42095165680621
"May 2022",5.46696018891766,4.39797580260566,6.53594457522965,3.83208965109672,7.1018307267386
"Jun 2022",4.91556059605047,3.73345541337641,6.09766577872453,3.10768672950439,6.72343446259655
"Jul 2022",4.71296965047632,3.42766124093762,5.99827806001502,2.7472600688632,6.67867923208944
"Aug 2022",4.63652271577785,3.25570312134962,6.01734231020608,2.52474138212823,6.74830404942747
"Sep 2022",4.46744020993297,2.99730150998559,5.93757890988035,2.21905709243357,6.71582332743237
"Oct 2022",3.84130447942976,2.28697091104458,5.39563804781494,1.46415642241655,6.21845253644296
"Nov 2022",3.31390378804052,1.67970738413582,4.94810019194521,0.814616064134562,5.81319151194647
"Dec 2022",2.9298986529984,1.21956449522072,4.64023281077608,0.314168282954048,5.54562902304275
